Database???Annual
Year£º1952-2019
Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
Gross National Income(100 million yuan),896915.6,820099.5,737074.0,683390.5,642097.6,588141.2,537329.0,483392.8,410354.1,347934.9,321229.5,270704.0,219028.5,185998.9,161415.4,136576.3,120480.4,109276.2,99066.1,89366.5,83817.6,78802.9,70779.6,60356.6,48548.2,35599.2,27208.2,22050.3,18923.3,17188.4,15174.4,12166.6,10375.4,9123.6,7314.2,6043.8,5380.5,4933.7,4587.6,4100.5,3678.7,3250.0,2988.6,3039.5,2827.7,2756.2,2552.4,2456.9,2279.7,1962.2,1744.1,1794.2,1888.7,1734.0,1469.9,1248.3,1162.2,1232.3,1470.1,1447.5,1312.3,1071.4,1030.7,911.6,859.8,824.4,679.1
Gross Domestic Product(100 million yuan),900309.5,820754.3,740060.8,685992.9,641280.6,592963.2,538580.0,487940.2,412119.3,348517.7,319244.6,270092.3,219438.5,187318.9,161840.2,137422.0,121717.4,110863.1,100280.1,90564.4,85195.5,79715.0,71813.6,61339.9,48637.5,35673.2,27194.5,22005.6,18872.9,17179.7,15180.4,12174.6,10376.2,9098.9,7278.5,6020.9,5373.4,4935.8,4587.6,4100.5,3678.7,3250.0,2988.6,3039.5,2827.7,2756.2,2552.4,2456.9,2279.7,1962.2,1744.1,1794.2,1888.7,1734.0,1469.9,1248.3,1162.2,1232.3,1470.1,1447.5,1312.3,1071.4,1030.7,911.6,859.8,824.4,679.1
Value-added of the Primary Industry(100 million yuan),64734.0,62099.5,60139.2,57774.6,55626.3,53028.1,49084.5,44781.4,38430.8,33583.8,32464.1,27674.1,23317.0,21806.7,20904.3,16970.2,16190.2,15502.5,14717.4,14549.0,14618.7,14265.2,13878.3,12020.5,9471.8,6887.6,5800.3,5288.8,5017.2,4228.2,3831.2,3204.5,2764.1,2541.7,2295.6,1960.9,1761.7,1545.7,1359.5,1259.0,1018.5,942.2,967.1,971.2,945.2,907.5,827.4,826.3,793.3,736.2,726.3,714.2,702.2,651.1,559.0,497.5,453.1,441.1,340.7,383.8,445.9,430.0,443.9,421.0,392.0,378.0,342.9
Value-added of the Secondary Industry(100 million yuan),366000.9,332742.7,296547.7,282040.3,277571.8,261956.1,244643.3,227038.8,191629.8,160171.7,149956.6,126633.6,104361.8,88084.4,74286.9,62697.4,54105.5,49660.7,45664.8,41080.9,39018.5,37546.0,33828.1,28677.5,22453.1,16473.1,11725.3,9129.8,7744.3,7300.9,6607.4,5274.0,4515.2,3886.5,3124.8,2663.0,2397.7,2269.1,2204.7,1925.4,1755.2,1517.8,1346.0,1378.7,1199.8,1180.4,1091.6,1029.9,918.1,695.0,542.6,608.0,715.4,608.5,519.3,412.8,363.9,393.5,652.6,616.8,483.6,316.6,280.4,221.5,210.8,191.6,141.1
Value-added of the Tertiary Industry(100 million yuan),469574.6,425912.1,383373.9,346178.0,308082.5,277979.1,244852.2,216120.0,182058.6,154762.2,136823.9,115784.6,91759.7,77427.8,66648.9,57754.4,51421.7,45700.0,39897.9,34934.5,31558.3,27903.8,24107.2,20641.9,16712.5,12312.6,9668.9,7587.0,6111.4,5650.6,4741.8,3696.2,3096.9,2670.7,1858.1,1397.0,1214.0,1121.1,1023.4,916.1,905.1,790.0,675.5,689.6,682.7,668.3,633.3,600.6,568.3,531.0,475.2,472.0,471.0,474.4,391.6,337.9,345.1,397.7,476.8,446.9,382.8,324.8,306.4,269.1,257.0,254.8,195.1
Per Capita GDP(yuan),64644,59201,53680,50028,47005,43684,39874,36302,30808,26180,24100,20494,16738,14368,12487,10666,9506,8717,7942,7229,6860,6481,5898,5091,4081,3027,2334,1912,1663,1536,1378,1123,973,866,702,588,533,497,468,423,385,344,321,332,314,313,296,292,279,247,225,238,257,242,210,183,175,187,220,217,201,168,166,150,144,142,119
"Note:1.Since 1980, the difference between the Gross Domestic Product and the Gross National Income (formerly, the Gross National Product) is the net factor income from the rest of the world."
"¡¡¡¡¡¡2.The classification by the three strata of industry is based on the ?Regulation on the Classification by Three Strata of Industry? made by the National Bureau of Statistics in 2012. The primary industry refers to agriculture, forestry, animal husbandry and fishery industries (except support services to agriculture, forestry, animal husbandry and fishery industries). The secondary industry refers to mining (except auxiliary activities of mining), manufacturing (except repairs for metal products, machinery and equipment), production and supply of electricity, steam, gas and water, and construction. The tertiary industry refers to all other industries not included in primary or secondary industry."
"¡¡¡¡¡¡3.According to China?s regulations on the GDP revisions and international practice, systematic revisions are made on the GDP figures for 2012 and earlier years with the revised 2013 GDP data and other historical data. The revisions made include three areas: the first is the revision of the GDP figures for 2012 and earlier years following the revisions of the National Industrial Classification of Economic Activities and the Classification by Three Strata of Industry; the second is the revision of the GDP figures for 2009-2012 with the data from the third economic census available; and the third is the revision of the value-added of financial intermediation for 2008 and earlier years due to the methodological changes in calculating the value-added of financial intermediation."
Data Sources£ºNational Bureau of Statistics
