LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GDP,TOT,USD_CAP,A,1970,5233.352349,
USA,GDP,TOT,USD_CAP,A,1971,5608.545346,
USA,GDP,TOT,USD_CAP,A,1972,6093.20516,
USA,GDP,TOT,USD_CAP,A,1973,6725.406839,
USA,GDP,TOT,USD_CAP,A,1974,7224.204995,
USA,GDP,TOT,USD_CAP,A,1975,7801.167695,
USA,GDP,TOT,USD_CAP,A,1976,8590.244216,
USA,GDP,TOT,USD_CAP,A,1977,9450.431025,
USA,GDP,TOT,USD_CAP,A,1978,10562.86018,
USA,GDP,TOT,USD_CAP,A,1979,11671.54141,
USA,GDP,TOT,USD_CAP,A,1980,12547.12681,
USA,GDP,TOT,USD_CAP,A,1981,13943.17589,
USA,GDP,TOT,USD_CAP,A,1982,14399.35319,
USA,GDP,TOT,USD_CAP,A,1983,15508.00784,
USA,GDP,TOT,USD_CAP,A,1984,17080.01472,
USA,GDP,TOT,USD_CAP,A,1985,18192.3264,
USA,GDP,TOT,USD_CAP,A,1986,19027.64632,
USA,GDP,TOT,USD_CAP,A,1987,19993.22608,
USA,GDP,TOT,USD_CAP,A,1988,21367.89616,
USA,GDP,TOT,USD_CAP,A,1989,22804.67446,
USA,GDP,TOT,USD_CAP,A,1990,23835.31923,
USA,GDP,TOT,USD_CAP,A,1991,24289.54759,
USA,GDP,TOT,USD_CAP,A,1992,25378.62464,
USA,GDP,TOT,USD_CAP,A,1993,26350.49293,
USA,GDP,TOT,USD_CAP,A,1994,27660.26836,
USA,GDP,TOT,USD_CAP,A,1995,28657.51272,
USA,GDP,TOT,USD_CAP,A,1996,29932.15777,
USA,GDP,TOT,USD_CAP,A,1997,31424.43893,
USA,GDP,TOT,USD_CAP,A,1998,32817.982,
USA,GDP,TOT,USD_CAP,A,1999,34477.97213,
USA,GDP,TOT,USD_CAP,A,2000,36304.60202,
USA,GDP,TOT,USD_CAP,A,2001,37099.9106,
USA,GDP,TOT,USD_CAP,A,2002,37979.60793,
USA,GDP,TOT,USD_CAP,A,2003,39426.08714,
USA,GDP,TOT,USD_CAP,A,2004,41647.84391,
USA,GDP,TOT,USD_CAP,A,2005,44043.73414,
USA,GDP,TOT,USD_CAP,A,2006,46230.8462,
USA,GDP,TOT,USD_CAP,A,2007,47902.06035,
USA,GDP,TOT,USD_CAP,A,2008,48311.2237,
USA,GDP,TOT,USD_CAP,A,2009,47028.1604,
USA,GDP,TOT,USD_CAP,A,2010,48393.6164,
USA,GDP,TOT,USD_CAP,A,2011,49800.32554,
USA,GDP,TOT,USD_CAP,A,2012,51521.45852,
USA,GDP,TOT,USD_CAP,A,2013,53016.2888,
USA,GDP,TOT,USD_CAP,A,2014,54935.20048,
USA,GDP,TOT,USD_CAP,A,2015,56700.88042,
USA,GDP,TOT,USD_CAP,A,2016,57797.46221,
USA,GDP,TOT,USD_CAP,A,2017,59774.2643,
USA,GDP,TOT,USD_CAP,A,2018,62479.72635,E
