Database???Annual
Year£º1951-2019
Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951
Consumer Price Index (preceding year=100),102.1,101.6,102.0,101.4,102.0,102.6,102.6,105.4,103.3,99.3,105.9,104.8,101.5,101.8,103.9,101.2,99.2,100.7,100.4,98.6,99.2,102.8,108.3,117.1,124.1,114.7,106.4,103.4,103.1,118.0,118.8,107.3,106.5,109.3,102.7,102.0,102.0,102.5,107.5,101.9,100.7,102.7,100.3,100.4,100.7,100.1,100.2,99.9,100.0,101.0,100.1,99.4,98.8,98.8,96.3,94.1,103.8,116.1,102.5,100.3,98.9,102.6,99.9,100.3,101.4,105.1,102.7,112.5
Urban Household Consumer Price Index (preceding year=100),102.1,101.7,102.1,101.5,102.1,102.6,102.7,105.3,103.2,99.1,105.6,104.5,101.5,101.6,103.3,100.9,99.0,100.7,100.8,98.7,99.4,103.1,108.8,116.8,125.0,116.1,108.6,105.1,101.3,116.3,120.7,108.8,107.0,111.9,102.7,102.0,102.0,102.5,107.5,101.9,100.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural Household Consumer Price Index (preceding year=100),102.1,101.3,101.9,101.3,101.8,102.8,102.5,105.8,103.6,99.7,106.5,105.4,101.5,102.2,104.8,101.6,99.6,100.8,99.9,98.5,99.0,102.5,107.9,117.5,123.4,113.7,104.7,102.3,104.5,119.3,117.5,106.2,106.1,107.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Price Index (preceding year=100),101.9,101.1,100.7,100.1,101.0,101.4,102.0,104.9,103.1,98.8,105.9,103.8,101.0,100.8,102.8,99.9,98.7,99.2,98.5,97.0,97.4,100.8,106.1,114.8,121.7,113.2,105.4,102.9,102.1,117.8,118.5,107.3,106.0,108.8,102.8,101.5,101.9,102.4,106.0,102.0,100.7,102.0,100.3,100.2,100.5,100.6,99.8,99.3,99.8,98.9,100.1,99.3,99.7,97.3,96.3,94.1,103.8,116.2,103.1,100.9,100.2,101.5,100.0,101.0,102.3,103.4,99.6,112.2
Producer Price Index for Industrial Products (preceding year=100),103.5,106.3,98.6,94.8,98.1,98.1,98.3,106.0,105.5,94.6,106.9,103.1,103.0,104.9,106.1,102.3,97.8,98.7,102.8,97.6,95.9,99.7,102.9,114.9,119.5,124.0,106.8,106.2,104.1,118.6,115.0,107.9,103.8,108.7,101.4,99.9,99.8,100.2,100.5,101.5,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchasing Price Index for Industrial Producers (preceding year=100),104.1,108.1,98.0,93.9,97.8,98.0,98.2,109.1,109.6,92.1,110.5,104.4,106.0,108.3,111.4,104.8,97.7,99.8,105.1,96.7,95.8,101.3,103.9,115.3,118.2,135.1,111.0,109.1,105.6,126.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Index for Investment in Fixed Assets (preceding year=100),105.4,105.8,99.4,98.2,100.5,100.3,101.1,106.6,103.6,97.6,108.9,103.9,101.5,101.6,105.6,102.2,100.2,100.4,101.1,99.6,99.8,101.7,104.0,105.9,110.4,126.6,115.3,109.5,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:1.National Bureau of Statistics from the January 2011 implementation of the new system of industrial producer price survey methods.""Industrial price statistics"" changed to ""industrial producer price statistics"". The producer price index for manufactured goo"
"¡¡¡¡¡¡2.National Bureau of Statistics from the January 2011 implementation of the new system of industrial producer price survey methods. ""Industrial price statistics"" changed to ""industrial producer price statistics"".corresponding to the purchasing price index f"
Data Sources£ºNational Bureau of Statistics
