LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,UNEMP,TOT,PC_LF,M,1955-01,4.9,
USA,UNEMP,TOT,PC_LF,M,1955-02,4.7,
USA,UNEMP,TOT,PC_LF,M,1955-03,4.6,
USA,UNEMP,TOT,PC_LF,M,1955-04,4.7,
USA,UNEMP,TOT,PC_LF,M,1955-05,4.3,
USA,UNEMP,TOT,PC_LF,M,1955-06,4.2,
USA,UNEMP,TOT,PC_LF,M,1955-07,4,
USA,UNEMP,TOT,PC_LF,M,1955-08,4.2,
USA,UNEMP,TOT,PC_LF,M,1955-09,4.1,
USA,UNEMP,TOT,PC_LF,M,1955-10,4.3,
USA,UNEMP,TOT,PC_LF,M,1955-11,4.2,
USA,UNEMP,TOT,PC_LF,M,1955-12,4.2,
USA,UNEMP,TOT,PC_LF,M,1956-01,4,
USA,UNEMP,TOT,PC_LF,M,1956-02,3.9,
USA,UNEMP,TOT,PC_LF,M,1956-03,4.2,
USA,UNEMP,TOT,PC_LF,M,1956-04,4,
USA,UNEMP,TOT,PC_LF,M,1956-05,4.3,
USA,UNEMP,TOT,PC_LF,M,1956-06,4.3,
USA,UNEMP,TOT,PC_LF,M,1956-07,4.4,
USA,UNEMP,TOT,PC_LF,M,1956-08,4.1,
USA,UNEMP,TOT,PC_LF,M,1956-09,3.9,
USA,UNEMP,TOT,PC_LF,M,1956-10,3.9,
USA,UNEMP,TOT,PC_LF,M,1956-11,4.3,
USA,UNEMP,TOT,PC_LF,M,1956-12,4.2,
USA,UNEMP,TOT,PC_LF,M,1957-01,4.2,
USA,UNEMP,TOT,PC_LF,M,1957-02,3.9,
USA,UNEMP,TOT,PC_LF,M,1957-03,3.7,
USA,UNEMP,TOT,PC_LF,M,1957-04,3.9,
USA,UNEMP,TOT,PC_LF,M,1957-05,4.1,
USA,UNEMP,TOT,PC_LF,M,1957-06,4.3,
USA,UNEMP,TOT,PC_LF,M,1957-07,4.2,
USA,UNEMP,TOT,PC_LF,M,1957-08,4.1,
USA,UNEMP,TOT,PC_LF,M,1957-09,4.4,
USA,UNEMP,TOT,PC_LF,M,1957-10,4.5,
USA,UNEMP,TOT,PC_LF,M,1957-11,5.1,
USA,UNEMP,TOT,PC_LF,M,1957-12,5.2,
USA,UNEMP,TOT,PC_LF,M,1958-01,5.8,
USA,UNEMP,TOT,PC_LF,M,1958-02,6.4,
USA,UNEMP,TOT,PC_LF,M,1958-03,6.7,
USA,UNEMP,TOT,PC_LF,M,1958-04,7.4,
USA,UNEMP,TOT,PC_LF,M,1958-05,7.4,
USA,UNEMP,TOT,PC_LF,M,1958-06,7.3,
USA,UNEMP,TOT,PC_LF,M,1958-07,7.5,
USA,UNEMP,TOT,PC_LF,M,1958-08,7.4,
USA,UNEMP,TOT,PC_LF,M,1958-09,7.1,
USA,UNEMP,TOT,PC_LF,M,1958-10,6.7,
USA,UNEMP,TOT,PC_LF,M,1958-11,6.2,
USA,UNEMP,TOT,PC_LF,M,1958-12,6.2,
USA,UNEMP,TOT,PC_LF,M,1959-01,6,
USA,UNEMP,TOT,PC_LF,M,1959-02,5.9,
USA,UNEMP,TOT,PC_LF,M,1959-03,5.6,
USA,UNEMP,TOT,PC_LF,M,1959-04,5.2,
USA,UNEMP,TOT,PC_LF,M,1959-05,5.1,
USA,UNEMP,TOT,PC_LF,M,1959-06,5,
USA,UNEMP,TOT,PC_LF,M,1959-07,5.1,
USA,UNEMP,TOT,PC_LF,M,1959-08,5.2,
USA,UNEMP,TOT,PC_LF,M,1959-09,5.5,
USA,UNEMP,TOT,PC_LF,M,1959-10,5.7,
USA,UNEMP,TOT,PC_LF,M,1959-11,5.8,
USA,UNEMP,TOT,PC_LF,M,1959-12,5.3,
USA,UNEMP,TOT,PC_LF,M,1960-01,5.2,
USA,UNEMP,TOT,PC_LF,M,1960-02,4.8,
USA,UNEMP,TOT,PC_LF,M,1960-03,5.4,
USA,UNEMP,TOT,PC_LF,M,1960-04,5.2,
USA,UNEMP,TOT,PC_LF,M,1960-05,5.1,
USA,UNEMP,TOT,PC_LF,M,1960-06,5.4,
USA,UNEMP,TOT,PC_LF,M,1960-07,5.5,
USA,UNEMP,TOT,PC_LF,M,1960-08,5.6,
USA,UNEMP,TOT,PC_LF,M,1960-09,5.5,
USA,UNEMP,TOT,PC_LF,M,1960-10,6.1,
